"sample_code","collection_date","station_number","rpt_limit_field_specific_conductance","rpt_limit_dissolved_nitrate_nitrite","rpt_limit_total_kjeldahl_nitrogen","rpt_limit_dissolved_nitrate","result_field_specific_conductance","result_dissolved_nitrate_nitrite","result_total_kjeldahl_nitrogen","result_dissolved_nitrate","method_field_specific_conductance","method_dissolved_nitrate_nitrite","method_total_kjeldahl_nitrogen","method_dissolved_nitrate","nitrate_as_N","nitrate_RL_as_N","total_nitrogen","tn_vs_no3","difference"
"SA0810B0192",2010-08-18,"KA030341",NA,0.01,0.1,0.1,NA,0.14,0.2,0.7,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.162790697674419,0.0232558139534884,0.34,"greater",0.177209302325581
"SA0910B0213",2010-09-15,"KA030341",NA,0.01,0.1,0.1,NA,0.14,0.3,0.6,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.13953488372093,0.0232558139534884,0.44,"greater",0.30046511627907
"SA1010B0258",2010-10-27,"KA030341",NA,0.01,0.1,0.1,NA,0.41,0.3,1.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.441860465116279,0.0232558139534884,0.71,"greater",0.268139534883721
"SA1110B0284",2010-11-15,"CA002000",NA,0.01,0.1,0.1,NA,0.44,0.2,2.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.488372093023256,0.0232558139534884,0.64,"greater",0.151627906976744
"SA1110B0285",2010-11-16,"PY001000",NA,0.01,0.1,0.1,NA,0.35,0.2,1.6,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.372093023255814,0.0232558139534884,0.55,"greater",0.177906976744186
"SA1110B0286",2010-11-17,"KA030341",NA,0.01,0.1,0.1,NA,0.56,0.3,2.6,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.604651162790698,0.0232558139534884,0.86,"greater",0.255348837209302
"SA1210B0293",2010-12-15,"KA030341",NA,0.01,0.1,0.1,NA,0.62,0.4,3.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.790697674418605,0.0232558139534884,1.02,"greater",0.229302325581395
"SA0111B0010",2011-01-19,"KA030341",NA,0.01,0.1,0.1,NA,0.68,0.5,3.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.72093023255814,0.0232558139534884,1.18,"greater",0.459069767441861
"SA0211B0129",2011-02-15,"CA002000",NA,0.01,0.1,0.1,NA,0.44,0.3,2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.465116279069767,0.0232558139534884,0.74,"greater",0.274883720930233
"SA0211B0130",2011-02-16,"PY001000",NA,0.01,0.1,0.1,NA,0.48,0.2,2.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.511627906976744,0.0232558139534884,0.68,"greater",0.168372093023256
"SA0211B0131",2011-02-16,"KA030341",NA,0.01,0.1,0.1,NA,0.5,0.4,2.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.534883720930233,0.0232558139534884,0.9,"greater",0.365116279069768
"SA0311B0213",2011-03-16,"KA030341",NA,0.01,0.1,0.1,NA,0.69,0.4,3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.697674418604651,0.0232558139534884,1.09,"greater",0.392325581395349
"SA0411B0276",2011-04-20,"KA030341",NA,0.01,0.1,0.1,NA,0.16,0.2,1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.232558139534884,0.0232558139534884,0.36,"greater",0.127441860465116
"SA0411B0284",2011-04-20,"KA041323",NA,0.01,0.1,0.1,NA,0.4,0.4,2.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.511627906976744,0.0232558139534884,0.8,"greater",0.288372093023256
"SA0511B0309",2011-05-16,"CA002000",NA,0.01,0.1,0.1,NA,0.28,0.2,1.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.302325581395349,0.0232558139534884,0.48,"greater",0.177674418604651
"SA0511B0310",2011-05-17,"PY001000",NA,0.01,0.1,0.1,NA,0.33,0.3,1.6,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.372093023255814,0.0232558139534884,0.63,"greater",0.257906976744186
"SA0511B0311",2011-05-18,"KA030341",NA,0.01,0.1,0.1,NA,0.2,0.3,1.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.27906976744186,0.0232558139534884,0.5,"greater",0.22093023255814
"SA0511B0319",2011-05-18,"KA041323",NA,0.01,0.1,0.1,NA,0.21,0.3,1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.232558139534884,0.0232558139534884,0.51,"greater",0.277441860465116
"SA0611B0356",2011-06-14,"KA030341",NA,0.01,0.1,0.1,NA,0.49,0.3,2.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.558139534883721,0.0232558139534884,0.79,"greater",0.231860465116279
"SA0611B0350",2011-06-15,"KA041323",NA,0.01,0.1,0.1,NA,0.19,0.3,1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.232558139534884,0.0232558139534884,0.49,"greater",0.257441860465116
"SA0711B0378",2011-07-20,"KA041323",NA,0.01,0.1,0.1,NA,0.36,0.2,1.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.418604651162791,0.0232558139534884,0.56,"greater",0.141395348837209
"SA0711B0370",2011-07-20,"KA030341",NA,0.01,0.1,0.1,NA,0.39,0.4,2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.465116279069767,0.0232558139534884,0.79,"greater",0.324883720930233
"SA0811B0418",2011-08-17,"KA041323",NA,0.01,0.1,0.1,NA,0.33,0.4,1.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.325581395348837,0.0232558139534884,0.73,"greater",0.404418604651163
"SA0811B0457",2011-08-17,"KA030341",NA,0.01,0.1,0.1,NA,0.26,0.9,1.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.325581395348837,0.0232558139534884,1.16,"greater",0.834418604651163
"SA0911B0500",2011-09-21,"KA030341",NA,0.01,0.1,0.1,NA,0.19,0.4,0.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.186046511627907,0.0232558139534884,0.59,"greater",0.403953488372093
"SA0911B0508",2011-09-21,"KA041323",NA,0.01,0.1,0.1,NA,0.24,0.2,1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.232558139534884,0.0232558139534884,0.44,"greater",0.207441860465116
"SA1011B0574",2011-10-19,"KA030341",NA,0.01,0.1,0.1,NA,0.3,0.2,1.7,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.395348837209302,0.0232558139534884,0.5,"greater",0.104651162790698
"SA1011B0568",2011-10-20,"KA041323",NA,0.01,0.1,0.1,NA,0.24,0.2,1.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.255813953488372,0.0232558139534884,0.44,"greater",0.184186046511628
"SA1211B0629",2011-12-21,"KA041323",NA,0.01,0.1,0.1,NA,0.41,0.3,2.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.534883720930233,0.0232558139534884,0.71,"greater",0.175116279069767
"SA1211B0642",2011-12-21,"KA030341",NA,0.01,0.1,0.1,NA,0.71,0.4,3.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.790697674418605,0.0232558139534884,1.11,"greater",0.319302325581395
"SA0112B0018",2012-01-18,"KA041323",NA,0.01,0.1,0.1,NA,0.53,0.3,2.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.534883720930233,0.0232558139534884,0.83,"greater",0.295116279069768
"SA0112B0010",2012-01-18,"KA030341",NA,0.01,0.1,0.1,NA,0.55,0.3,2.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.674418604651163,0.0232558139534884,0.85,"greater",0.175581395348837
"SA0212B0057",2012-02-13,"CA002000",NA,0.01,0.1,0.1,NA,0.31,0.2,1.5,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.348837209302326,0.0232558139534884,0.51,"greater",0.161162790697674
"SA0212B0058",2012-02-14,"PY001000",NA,0.01,0.1,0.1,NA,0.39,0.4,1.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.441860465116279,0.0232558139534884,0.79,"greater",0.348139534883721
"SA0212B0053",2012-02-15,"KA041323",NA,0.01,0.1,0.1,NA,0.55,0.3,2.5,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.581395348837209,0.0232558139534884,0.85,"greater",0.268604651162791
"SA0212B0059",2012-02-15,"KA030341",NA,0.01,0.1,0.1,NA,0.69,0.3,3.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.883720930232558,0.0232558139534884,0.99,"greater",0.106279069767442
"SA0312B0067",2012-03-21,"KA041323",NA,0.01,0.1,0.1,NA,0.48,0.4,2.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.511627906976744,0.0232558139534884,0.88,"greater",0.368372093023256
"SA0312B0073",2012-03-21,"KA030341",NA,0.01,0.1,0.1,NA,0.79,0.3,3.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.883720930232558,0.0232558139534884,1.09,"greater",0.206279069767442
