"long_station_name","short_station_name","station_number","sample_code","collection_date","analyte","result","rpt_limit","units","method","sample_type","description","notes"
"Middle River near Tracy Road","MR n. Tracy Rd.","B9D75291280","CF0118B0034",2018-01-04,"Dissolved Nitrate + Nitrite","0.55",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Middle River at Undine Road","MR@UNDINE","B9D75011230","CF0118B0036",2018-01-04,"Dissolved Nitrate + Nitrite","0.68",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Middle River at Howard Road","MR at Howard Rd.","B9D75261230","CF0118B0037",2018-01-04,"Dissolved Nitrate + Nitrite","0.42",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Duplicate Sample",NA,NA
"Middle River at Howard Road","MR at Howard Rd.","B9D75261230","CF0118B0035",2018-01-04,"Dissolved Nitrate + Nitrite","0.59",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Old River at Tracy Wildlife Association","Old River at TWA","B9D74821274","CF0122B0146",2022-01-04,"Dissolved Nitrate + Nitrite","1.12",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample","Specific Conductance data collected on this run on 01/04/2022 does not meet blank validation standards. Blank Specific Conductance value: 5.1 uS/cm.",NA
"Old River at Tracy Wildlife Association","Old River at TWA","B9D74821274","CF0122B0145",2022-01-04,"Dissolved Nitrate + Nitrite","1.12",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate Sample","Specific Conductance data collected on this run on 01/04/2022 does not meet blank validation standards. Blank Specific Conductance value: 5.1 uS/cm.",NA
"Three Mile Slough at San Joaquin River","Three Mile Slough","B9D80621412","CF0116B0029",2016-01-05,"Dissolved Nitrate + Nitrite","0.66",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Fisherman's Cut","Fisherman's Cut","B9D80411389","CF0116B0032",2016-01-05,"Dissolved Nitrate + Nitrite","0.7",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"False River near Oakley","False R Nr Oakley","B9D80331400","CF0116B0028",2016-01-05,"Dissolved Nitrate + Nitrite","0.71",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"False River near Oakley","False R Nr Oakley","B9D80331400","CF0116B0033",2016-01-05,"Dissolved Nitrate + Nitrite","0.71",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Replicate (Split) Sample",NA,NA
"Old River near Frank's Tract","OR Nr Franks Tract","B9D80431347","CF0116B0027",2016-01-05,"Dissolved Nitrate + Nitrite","0.6",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Old River at Tracy Wildlife Association","Old River at TWA","B9D74821274","CF0118B0008",2018-01-05,"Dissolved Nitrate + Nitrite","0.83",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Old River at Tracy Wildlife Association","Old River at TWA","B9D74821274","CF0118B0009",2018-01-05,"Dissolved Nitrate + Nitrite","0.83",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Duplicate Sample",NA,NA
"Old River at Tracy Wildlife Association","Old River at TWA","B9D74821274","CF0121B0014",2021-01-05,"Dissolved Nitrate + Nitrite","1.55",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Bethel Island near Piper Slough","Bethel near Piper","B9D80251385","CF0123B0023",2023-01-05,"Dissolved Nitrate + Nitrite","0.786",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Bethel Island near Piper Slough","Bethel near Piper","B9D80251385","CF0123B0024",2023-01-05,"Dissolved Nitrate + Nitrite","0.789",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate Sample",NA,NA
"Three Mile Slough at San Joaquin River","Three Mile Slough","B9D80621412","CF0122B0150",2022-01-06,"Dissolved Nitrate + Nitrite","0.664",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample","All Dissolved Orthophosphate data for this run collected on 1/6/2022 does not meet duplicate validation standards. RPD test failed at OSJ on 01/06/2022 for Dissolved Orthophosphate (Parent: 0.115 mg/L, Dup: 0.08 mg/L, RPD: 35.9%)",NA
"Fisherman's Cut","Fisherman's Cut","B9D80411389","CF0122B0151",2022-01-06,"Dissolved Nitrate + Nitrite","0.985",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample","All Dissolved Orthophosphate data for this run collected on 1/6/2022 does not meet duplicate validation standards. RPD test failed at OSJ on 01/06/2022 for Dissolved Orthophosphate (Parent: 0.115 mg/L, Dup: 0.08 mg/L, RPD: 35.9%)",NA
"False River near Oakley","False R Nr Oakley","B9D80331400","CF0122B0149",2022-01-06,"Dissolved Nitrate + Nitrite","0.989",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample","All Dissolved Orthophosphate data for this run collected on 1/6/2022 does not meet duplicate validation standards. RPD test failed at OSJ on 01/06/2022 for Dissolved Orthophosphate (Parent: 0.115 mg/L, Dup: 0.08 mg/L, RPD: 35.9%)",NA
"Old River near Frank's Tract","OR Nr Franks Tract","B9D80431347","CF0122B0148",2022-01-06,"Dissolved Nitrate + Nitrite","1.07",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample","All Dissolved Orthophosphate data for this run collected on 1/6/2022 does not meet duplicate validation standards. RPD test failed at OSJ on 01/06/2022 for Dissolved Orthophosphate (Parent: 0.115 mg/L, Dup: 0.08 mg/L, RPD: 35.9%)",NA
"Old River near Frank's Tract","OR Nr Franks Tract","B9D80431347","CF0122B0152",2022-01-06,"Dissolved Nitrate + Nitrite","0.891",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate Sample","All Dissolved Orthophosphate data for this run collected on 1/6/2022 does not meet duplicate validation standards. RPD test failed at OSJ on 01/06/2022 for Dissolved Orthophosphate (Parent: 0.115 mg/L, Dup: 0.08 mg/L, RPD: 35.9%)",NA
"Old River near Doughty Cut - ORX","OR Nr DOUGHTY CUT","B9D74871232","CF0119B0029",2019-01-08,"Dissolved Nitrate","9.65",0.5,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample",NA,NA
"Grant Line Canal East","GLC-East","B9D74921261","CF0119B0036",2019-01-08,"Dissolved Nitrate","9.52",0.5,"mg/L","EPA 300.0 28d Hold [1]*","Duplicate, Specific Analyte(s)",NA,NA
"Grant Line Canal East","GLC-East","B9D74921261","CF0119B0030",2019-01-08,"Dissolved Nitrate","9.51",0.5,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample",NA,NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0120B0028",2020-01-08,"Dissolved Nitrate + Nitrite","0.496",0.05,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Duplicate Sample",NA,NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0120B0022",2020-01-08,"Dissolved Nitrate + Nitrite","0.495",0.05,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0120B0028",2020-01-08,"Dissolved Nitrate","2.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Duplicate Sample",NA,NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0120B0022",2020-01-08,"Dissolved Nitrate","2.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample",NA,NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0124B0019",2024-01-11,"Dissolved Nitrate + Nitrite","0.054",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample","Sample taken at a depth of 0.5 meters. All Total Kjeldahl Nitrogen data collected on this run 01/11/2024 does not meet duplicate validation standards.Lab duplicate failed lab validation tests.
RPD test failed at RSCC on 01/11/2024 for TKN (Parent: 0.26 mg/L, Dup: 0.339 mg/L, RPD: 26.4%)",NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0124B0023",2024-01-11,"Dissolved Nitrate + Nitrite","<0.05",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate Sample","Sample taken at a depth of 0.5 meters. All Total Kjeldahl Nitrogen data collected on this run 01/11/2024 does not meet duplicate validation standards.Lab duplicate failed lab validation tests.
RPD test failed at RSCC on 01/11/2024 for TKN (Parent: 0.26 mg/L, Dup: 0.339 mg/L, RPD: 26.4%)",NA
"Bethel Island near Piper Slough","Bethel near Piper","B9D80251385","CF0116B0141",2016-01-12,"Dissolved Nitrate + Nitrite","0.32",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Duplicate Sample",NA,NA
"Bethel Island near Piper Slough","Bethel near Piper","B9D80251385","CF0116B0139",2016-01-12,"Dissolved Nitrate + Nitrite","0.35",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Miner Slough near Sacramento River","Miner Slough nr SR","B9S81421400","CF0118B0087",2018-01-12,"Dissolved Nitrate + Nitrite","0.59",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Duplicate Sample",NA,NA
"Miner Slough near Sacramento River","Miner Slough nr SR","B9S81421400","CF0118B0084",2018-01-12,"Dissolved Nitrate + Nitrite","0.58",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Old River near Doughty Cut - ORX","OR Nr DOUGHTY CUT","B9D74871232","CF0122B0164",2022-01-12,"Dissolved Nitrate + Nitrite","1.63",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Grant Line Canal East","GLC-East","B9D74921261","CF0122B0165",2022-01-12,"Dissolved Nitrate + Nitrite","1.89",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Grant Line Canal East","GLC-East","B9D74921261","CF0122B0169",2022-01-12,"Dissolved Nitrate + Nitrite","1.9",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate, Specific Analyte(s)",NA,NA
"Sugar Cut downstream of Tom Paine Slough","SUGAR CUT","B9D74761253","CF0122B0167",2022-01-12,"Dissolved Nitrate + Nitrite","1.71",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Old River near Doughty Cut - ORX","OR Nr DOUGHTY CUT","B9D74871232","CF0123B0227",2023-01-12,"Dissolved Nitrate + Nitrite","0.97",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Grant Line Canal East","GLC-East","B9D74921261","CF0123B0228",2023-01-12,"Dissolved Nitrate + Nitrite","0.967",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0123B0246",2023-01-12,"Dissolved Nitrate + Nitrite","0.896",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample","Dissolved Organic Carbon had a blank hit (1.1 mg/l). DOC sample was within RPD limit with duplicate and is in the historic and expected range for this station. Use at your own discretion. All other constituents passed all QC requirements.",NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0123B0250",2023-01-12,"Dissolved Nitrate + Nitrite","0.897",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate Sample",NA,NA
"Old River at Tracy Wildlife Association","Old River at TWA","B9D74821274","CF0123B0242",2023-01-12,"Dissolved Nitrate + Nitrite","1.2",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample","Sample not validated because the Field Blank for Specific Conductance exceeded the reporting limit during this sampling event. Field Blank Specific Conductance value = 5.",NA
"Old River at Tracy Wildlife Association","Old River at TWA","B9D74821274","CF0123B0243",2023-01-12,"Dissolved Nitrate + Nitrite","1.25",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate Sample","Sample not validated because the Field Blank for Specific Conductance exceeded the reporting limit during this sampling event. Field Blank Specific Conductance value = 5.",NA
"Holland Cut near Bethel Island","Holland Cut Nr BI","B9D80101349","CF0116B0150",2016-01-13,"Dissolved Nitrate + Nitrite","0.67",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Holland Cut near Bethel Island","Holland Cut Nr BI","B9D80101349","CF0116B0153",2016-01-13,"Dissolved Nitrate + Nitrite","0.45",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Replicate (Split), Spec. Analyte(s)",NA,NA
"Steamboat Slough","Steamboat Slough","B9S81131386","CF0122B0179",2022-01-13,"Dissolved Nitrate + Nitrite","0.467",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Steamboat Slough","Steamboat Slough","B9S81131386","CF0122B0181",2022-01-13,"Dissolved Nitrate + Nitrite","0.477",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate Sample",NA,NA
"Sacramento River Downstream of Isleton","Sac R. DS Isleton","B9D81051394","CF0122B0180",2022-01-13,"Dissolved Nitrate + Nitrite","0.399",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Miner Slough near Sacramento River","Miner Slough nr SR","B9S81421400","CF0122B0178",2022-01-13,"Dissolved Nitrate + Nitrite","0.405",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Sacramento River Downstream of Isleton","Sac R. DS Isleton","B9D81051394","CF0116B0158",2016-01-14,"Dissolved Nitrate + Nitrite","0.55",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Duplicate Sample",NA,NA
"Sacramento River Downstream of Isleton","Sac R. DS Isleton","B9D81051394","CF0116B0157",2016-01-14,"Dissolved Nitrate + Nitrite","0.59",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Steamboat Slough","Steamboat Slough","B9S81131386","CF0116B0156",2016-01-14,"Dissolved Nitrate + Nitrite","0.58",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Miner Slough near Sacramento River","Miner Slough nr SR","B9S81421400","CF0116B0155",2016-01-14,"Dissolved Nitrate + Nitrite","0.48",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Old River near Doughty Cut - ORX","OR Nr DOUGHTY CUT","B9D74871232","CF0121B0032C",2021-01-14,"Dissolved Nitrate + Nitrite","1.4",0.5,"mg/L as N","EPA 353.2 [1]*","Normal Sample",NA,NA
"Grant Line Canal East","GLC-East","B9D74921261","CF0121B0033C",2021-01-14,"Dissolved Nitrate + Nitrite","1.4",0.5,"mg/L as N","EPA 353.2 [1]*","Normal Sample",NA,NA
"Sugar Cut downstream of Tom Paine Slough","SUGAR CUT","B9D74761253","CF0121B0036C",2021-01-14,"Dissolved Nitrate + Nitrite","1.4",0.5,"mg/L as N","EPA 353.2 [1]*","Normal Sample",NA,NA
"Bethel Island near Piper Slough","Bethel near Piper","B9D80251385","CF0115B0065",2015-01-15,"Dissolved Nitrate + Nitrite","0.83",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Bethel Island near Piper Slough","Bethel near Piper","B9D80251385","CF0115B0067",2015-01-15,"Dissolved Nitrate + Nitrite","0.84",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Replicate (Split) Sample",NA,NA
"Paradise Cut Upstream","Paradise C Upstream","B9D74811224","CF0119B0070",2019-01-15,"Dissolved Nitrate","2.5",2.5,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample",NA,NA
"Sugar Cut downstream of Tom Paine Slough","SUGAR CUT","B9D74761253","CF0119B0069",2019-01-15,"Dissolved Nitrate","8",1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample",NA,NA
"Sugar Cut downstream of Tom Paine Slough","SUGAR CUT","B9D74761253","CF0119B0072",2019-01-15,"Dissolved Nitrate","8",0.5,"mg/L","EPA 300.0 28d Hold [1]*","Duplicate, Specific Analyte(s)",NA,NA
"Old River at Tracy Wildlife Association","Old River at TWA","B9D74821274","CF0119B0067",2019-01-15,"Dissolved Nitrate","8.6",0.5,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample",NA,NA
"Yolo Bypass Toe Drain Below Lisbon Weir","Toe Drain YB LISBON","B9D82851352","CF0124B0056",2024-01-16,"Dissolved Nitrate + Nitrite","0.375",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate Sample",NA,NA
"Yolo Bypass Toe Drain Below Lisbon Weir","Toe Drain YB LISBON","B9D82851352","CF0124B0055",2024-01-16,"Dissolved Nitrate + Nitrite","0.38",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Sugar Cut downstream of Tom Paine Slough","SUGAR CUT","B9D74761253","CF0123B0259",2023-01-18,"Dissolved Nitrate + Nitrite","2.59",0.25,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Holland Cut near Bethel Island","Holland Cut Nr BI","B9D80101349","CF0122B0209",2022-01-19,"Dissolved Nitrate + Nitrite","0.937",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate Sample",NA,NA
"Holland Cut near Bethel Island","Holland Cut Nr BI","B9D80101349","CF0122B0207",2022-01-19,"Dissolved Nitrate + Nitrite","0.939",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Steamboat Slough","Steamboat Slough","B9S81131386","CF0123B0263",2023-01-19,"Dissolved Nitrate + Nitrite","0.624",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Sacramento River Downstream of Isleton","Sac R. DS Isleton","B9D81051394","CF0123B0264",2023-01-19,"Dissolved Nitrate + Nitrite","0.447",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Sacramento River Downstream of Isleton","Sac R. DS Isleton","B9D81051394","CF0123B0265",2023-01-19,"Dissolved Nitrate + Nitrite","0.448",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate Sample",NA,NA
"Miner Slough near Sacramento River","Miner Slough nr SR","B9S81421400","CF0123B0262",2023-01-19,"Dissolved Nitrate + Nitrite","0.481",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample",NA,NA
"Old River near Frank's Tract","OR Nr Franks Tract","B9D80431347","CF0115B0070",2015-01-21,"Dissolved Nitrate + Nitrite","0.7",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Holland Cut near Bethel Island","Holland Cut Nr BI","B9D80101349","CF0115B0073",2015-01-21,"Dissolved Nitrate + Nitrite","0.87",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Fisherman's Cut","Fisherman's Cut","B9D80411389","CF0115B0075",2015-01-21,"Dissolved Nitrate + Nitrite","0.82",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"False River near Oakley","False R Nr Oakley","B9D80331400","CF0115B0071",2015-01-21,"Dissolved Nitrate + Nitrite","0.82",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"False River near Oakley","False R Nr Oakley","B9D80331400","CF0115B0076",2015-01-21,"Dissolved Nitrate + Nitrite","0.69",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Replicate (Split) Sample",NA,NA
"Three Mile Slough at San Joaquin River","Three Mile Slough","B9D80621412","CF0115B0072",2015-01-21,"Dissolved Nitrate + Nitrite","0.8",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0119B0077",2019-01-23,"Dissolved Nitrate + Nitrite","0.28",0.05,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0119B0083",2019-01-23,"Dissolved Nitrate + Nitrite","0.29",0.05,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Duplicate Sample",NA,NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0119B0077",2019-01-23,"Dissolved Nitrate","1.24",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample",NA,NA
"Rock Slough @ Contra Costa WD Fish Screen","RS @CCWD Fish Screen","B9522200","CF0119B0083",2019-01-23,"Dissolved Nitrate","1.22",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Duplicate Sample",NA,NA
"Miner Slough near Sacramento River","Miner Slough nr SR","B9S81421400","CF0124B0068",2024-01-23,"Dissolved Nitrate + Nitrite","0.385",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Normal Sample","Blank Test Failed for CF0124B0072 - Dissolved Organic Carbon Result: 0.5mg/L as C",NA
"Miner Slough near Sacramento River","Miner Slough nr SR","B9S81421400","CF0124B0071",2024-01-23,"Dissolved Nitrate + Nitrite","0.388",0.05,"mg/L as N","Std Method 4500-NO3-F [1]*","Duplicate Sample","Blank Test Failed for CF0124B0072 - Dissolved Organic Carbon Result: 0.5mg/L as C",NA
"Grant Line Canal East","GLC-East","B9D74921261","CF0118B0151",2018-01-24,"Dissolved Nitrate + Nitrite","1.26",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Grant Line Canal East","GLC-East","B9D74921261","CF0118B0154",2018-01-24,"Dissolved Nitrate + Nitrite","1.26",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Duplicate Sample",NA,NA
"Miner Slough near Sacramento River","Miner Slough nr SR","B9S81421400","CF0117B0209",2017-01-25,"Dissolved Nitrate + Nitrite","0.27",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Miner Slough near Sacramento River","Miner Slough nr SR","B9S81421400","CF0117B0212",2017-01-25,"Dissolved Nitrate + Nitrite","0.27",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Duplicate Sample",NA,NA
"Victoria Canal near Byron","Victoria Canal","B9D75231318","CF0118B0162",2018-01-25,"Dissolved Nitrate + Nitrite","1.1",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Duplicate Sample",NA,NA
"Victoria Canal near Byron","Victoria Canal","B9D75231318","CF0118B0161",2018-01-25,"Dissolved Nitrate + Nitrite","1.1",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
"Old River Downstream DMC Barrier","OR@DMC-DS","B9536500","CF0118B0159",2018-01-25,"Dissolved Nitrate + Nitrite","1.04",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample",NA,NA
